"Partial Amount (n of 57)" "Learning Rate" "Mean Top-5" "Mean Top-5 (%)" "Std Top-5" "Mean Trained Top-5" "Mean Trained Top-5 (%)" "Std Trained Top-5" "Mean Not-Trained Top-5" "Mean Not-Trained Top-5 (%)" "Std Not-Trained Top-5" "Mean Top-1" "Mean Top-1 (%)" "Std Top-1" "Mean Trained Top-1" "Mean Trained Top-1 (%)" "Std Trained Top-1" "Mean Not-Trained Top-1" "Mean Not-Trained Top-1 (%)" "Std Not-Trained Top-1"
30.0 1e-05 671.2333 0.5888 2.2013 455.6333 0.7594 1.3780 215.6000 0.3993 1.6852 423.9000 0.3718 2.7731 318.6667 0.5311 2.5991 105.2333 0.1949 1.2565
10.0 1e-05 431.4333 0.3785 2.9853 182.7667 0.9138 0.4230 248.6667 0.2645 3.0587 236.7667 0.2077 1.8200 144.6667 0.7233 0.5963 92.1000 0.0980 1.7767
20.0 1e-05 539.2000 0.4730 3.6092 327.3000 0.8183 2.8769 211.9000 0.2864 2.5080 316.0000 0.2772 1.8974 229.4667 0.5737 2.1250 86.5333 0.1169 2.0774
40.0 0.1 40.0000 0.0351 0.0000 40.0000 0.0500 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0250 0.0000 0.0000 0.0000 0.0000
5.0 0.01 40.0000 0.0351 0.0000 20.0000 0.2000 0.0000 20.0000 0.0192 0.0000 20.0000 0.0175 0.0000 20.0000 0.2000 0.0000 0.0000 0.0000 0.0000
25.0 0.1 40.0000 0.0351 0.0000 40.0000 0.0800 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0400 0.0000 0.0000 0.0000 0.0000
50.0 0.1 40.0000 0.0351 0.0000 40.0000 0.0400 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0200 0.0000 0.0000 0.0000 0.0000
10.0 0.0001 376.9667 0.3307 11.8448 196.3667 0.9818 0.8750 180.6000 0.1921 11.7943 213.6333 0.1874 5.4680 169.3000 0.8465 3.5038 44.3333 0.0472 4.4447
5.0 1e-05 398.2000 0.3493 1.3266 97.0000 0.9700 0.0000 301.2000 0.2896 1.3266 202.5000 0.1776 0.7188 91.0000 0.9100 0.0000 111.5000 0.1072 0.7188
15.0 0.001 340.1333 0.2984 15.7475 292.7000 0.9757 3.9171 47.4333 0.0565 14.8497 238.2333 0.2090 16.9286 236.5000 0.7883 16.4514 1.7333 0.0021 2.1746
35.0 0.001 655.7000 0.5752 14.4341 646.7333 0.9239 11.9859 8.9667 0.0204 5.2693 469.1333 0.4115 22.1536 468.5667 0.6694 21.8353 0.5667 0.0013 1.0546
25.0 0.0001 625.9667 0.5491 7.3325 480.0667 0.9601 1.4126 145.9000 0.2280 7.5558 440.3333 0.3863 6.3105 414.7333 0.8295 5.0262 25.6000 0.0400 3.4117
20.0 0.01 40.0000 0.0351 0.0000 40.0000 0.1000 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0500 0.0000 0.0000 0.0000 0.0000
20.0 0.001 405.8065 0.3560 36.3117 381.1290 0.9528 29.3837 24.6774 0.0333 12.0787 296.2581 0.2599 45.8609 294.8710 0.7372 45.3486 1.3871 0.0019 1.8082
15.0 0.1 40.0000 0.0351 0.0000 40.0000 0.1333 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0667 0.0000 0.0000 0.0000 0.0000
50.0 1e-05 806.7667 0.7077 2.7891 766.3667 0.7664 2.5230 40.4000 0.2886 0.8406 580.3333 0.5091 3.6727 557.4000 0.5574 3.5365 22.9333 0.1638 0.7272
10.0 0.001 255.7667 0.2244 18.3642 198.2667 0.9913 1.0306 57.5000 0.0612 18.3007 171.2333 0.1502 7.6319 167.9333 0.8397 5.9438 3.3000 0.0035 3.4269
45.0 0.1 40.0000 0.0351 0.0000 40.0000 0.0444 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0222 0.0000 0.0000 0.0000 0.0000
40.0 0.001 730.2333 0.6406 33.1659 720.4333 0.9005 31.2481 9.8000 0.0288 7.1340 498.4667 0.4373 42.0743 497.3333 0.6217 42.2187 1.1333 0.0033 1.7269
25.0 0.001 491.3333 0.4310 12.2891 476.2667 0.9525 7.0849 15.0667 0.0235 8.1361 381.6000 0.3347 16.3841 380.6667 0.7613 16.0631 0.9333 0.0015 1.8062
5.0 0.001 170.1000 0.1492 27.1641 99.5667 0.9957 2.3336 70.5333 0.0678 26.7653 98.6333 0.0865 7.4855 95.6333 0.9563 6.3060 3.0000 0.0029 2.9777
30.0 0.001 577.6000 0.5067 9.0760 564.3667 0.9406 5.3509 13.2333 0.0245 5.6432 442.4667 0.3881 15.9932 441.3333 0.7356 15.1753 1.1333 0.0021 1.4545
50.0 0.001 885.2667 0.7765 30.1374 885.2000 0.8852 30.1235 0.0667 0.0005 0.2494 623.7667 0.5472 44.1699 623.7667 0.6238 44.1699 0.0000 0.0000 0.0000
40.0 0.0001 857.9333 0.7526 4.5529 764.9333 0.9562 3.2857 93.0000 0.2735 4.8442 639.5000 0.5610 8.3974 618.4000 0.7730 8.5385 21.1000 0.0621 2.8676
15.0 0.01 40.0000 0.0351 0.0000 40.0000 0.1333 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0667 0.0000 0.0000 0.0000 0.0000
20.0 0.0001 509.7000 0.4471 9.8223 385.8333 0.9646 1.8454 123.8667 0.1674 9.0507 355.0000 0.3114 7.2664 332.8000 0.8320 4.6072 22.2000 0.0300 3.9531
10.0 0.1 40.0000 0.0351 0.0000 40.0000 0.2000 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.1000 0.0000 0.0000 0.0000 0.0000
29.0 0.001 742.0000 0.6509 0.0000 297.0000 0.5121 0.0000 445.0000 0.7946 0.0000 402.0000 0.3526 0.0000 123.0000 0.2121 0.0000 279.0000 0.4982 0.0000
45.0 0.001 795.1333 0.6975 43.3080 792.1333 0.8801 42.6480 3.0000 0.0125 2.7447 542.8333 0.4762 66.4370 542.8333 0.6031 66.4370 0.0000 0.0000 0.0000
5.0 0.1 40.0000 0.0351 0.0000 20.0000 0.2000 0.0000 20.0000 0.0192 0.0000 20.0000 0.0175 0.0000 20.0000 0.2000 0.0000 0.0000 0.0000 0.0000
30.0 0.1 40.0000 0.0351 0.0000 40.0000 0.0667 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0333 0.0000 0.0000 0.0000 0.0000
55.0 0.0001 1055.4667 0.9258 2.9747 1045.3333 0.9503 2.7729 10.1333 0.2533 1.1757 856.9000 0.7517 6.3579 854.2667 0.7766 6.4443 2.6333 0.0658 0.7520
55.0 0.001 964.6000 0.8461 96.6597 964.5667 0.8769 96.6501 0.0333 0.0008 0.1795 673.6667 0.5909 108.8814 673.6667 0.6124 108.8814 0.0000 0.0000 0.0000
15.0 0.0001 452.4667 0.3969 11.8511 292.9000 0.9763 2.1346 159.5667 0.1900 11.5143 288.8667 0.2534 6.3965 259.1667 0.8639 3.6886 29.7000 0.0354 4.9474
40.0 0.01 40.0000 0.0351 0.0000 40.0000 0.0500 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0250 0.0000 0.0000 0.0000 0.0000
30.0 0.0001 706.8667 0.6201 9.4189 577.4000 0.9623 3.0833 129.4667 0.2398 7.8219 514.6333 0.4514 5.7763 486.0333 0.8101 4.7151 28.6000 0.0530 2.9732
50.0 0.01 40.0000 0.0351 0.0000 40.0000 0.0400 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0200 0.0000 0.0000 0.0000 0.0000
20.0 0.1 40.0000 0.0351 0.0000 40.0000 0.1000 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0500 0.0000 0.0000 0.0000 0.0000
10.0 0.01 40.0000 0.0351 0.0000 40.0000 0.2000 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.1000 0.0000 0.0000 0.0000 0.0000
30.0 0.01 40.0000 0.0351 0.0000 40.0000 0.0667 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0333 0.0000 0.0000 0.0000 0.0000
57.0 1e-05 868.1000 0.7615 2.4678 868.1000 0.7615 2.4678 0.0000 nan 0.0000 607.2333 0.5327 2.7041 607.2333 0.5327 2.7041 0.0000 nan 0.0000
45.0 0.0001 914.7000 0.8024 3.5417 854.9333 0.9499 3.1616 59.7667 0.2490 2.5779 715.6333 0.6277 6.6557 701.3333 0.7793 6.7148 14.3000 0.0596 2.0191
35.0 0.0001 770.0000 0.6754 5.9833 667.7667 0.9540 2.6291 102.2333 0.2323 4.9375 576.7000 0.5059 7.5018 556.9000 0.7956 6.2575 19.8000 0.0450 2.5742
25.0 1e-05 638.2667 0.5599 2.3514 407.0000 0.8140 1.1255 231.2667 0.3614 1.8962 393.8333 0.3455 3.1842 291.7667 0.5835 2.0279 102.0667 0.1595 1.8427
50.0 0.0001 975.9000 0.8561 2.8676 948.6333 0.9486 2.4696 27.2667 0.1948 2.1746 789.4333 0.6925 7.0931 784.2667 0.7843 6.6128 5.1667 0.0369 1.2671
45.0 0.01 40.0000 0.0351 0.0000 40.0000 0.0444 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0222 0.0000 0.0000 0.0000 0.0000
40.0 1e-05 737.9333 0.6473 2.2499 595.5667 0.7445 1.4761 142.3667 0.4187 1.4256 490.1667 0.4300 3.9924 408.9667 0.5112 3.4783 81.2000 0.2388 1.5578
15.0 1e-05 465.8667 0.4087 3.0521 245.2333 0.8174 1.3828 220.6333 0.2627 2.8459 268.9667 0.2359 2.9038 177.7000 0.5923 2.0680 91.2667 0.1087 1.6918
45.0 1e-05 782.7333 0.6866 1.8245 683.3667 0.7593 1.5596 99.3667 0.4140 1.0483 543.3000 0.4766 3.6437 487.7667 0.5420 2.7651 55.5333 0.2314 1.6479
55.0 0.01 40.0000 0.0351 0.0000 40.0000 0.0364 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0182 0.0000 0.0000 0.0000 0.0000
55.0 1e-05 846.7667 0.7428 1.8741 829.6333 0.7542 1.8526 17.1333 0.4283 0.4269 597.4000 0.5240 2.8589 585.4667 0.5322 2.7777 11.9333 0.2983 0.2494
55.0 0.1 40.0000 0.0351 0.0000 40.0000 0.0364 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0182 0.0000 0.0000 0.0000 0.0000
5.0 0.0001 338.7000 0.2971 14.6700 100.0000 1.0000 0.0000 238.7000 0.2295 14.6700 136.3333 0.1196 6.9968 98.1000 0.9810 0.7461 38.2333 0.0368 7.2465
35.0 0.1 40.0000 0.0351 0.0000 40.0000 0.0571 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0286 0.0000 0.0000 0.0000 0.0000
35.0 0.01 40.0000 0.0351 0.0000 40.0000 0.0571 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0286 0.0000 0.0000 0.0000 0.0000
29.0 0.0001 1057.0000 0.9272 0.0000 536.0000 0.9241 0.0000 521.0000 0.9304 0.0000 863.0000 0.7570 0.0000 427.0000 0.7362 0.0000 436.0000 0.7786 0.0000
35.0 1e-05 695.3667 0.6100 3.2092 522.1000 0.7459 1.7195 173.2667 0.3938 2.4757 459.2667 0.4029 3.2448 371.0000 0.5300 2.9326 88.2667 0.2006 1.6720
25.0 0.01 40.0000 0.0351 0.0000 40.0000 0.0800 0.0000 0.0000 0.0000 0.0000 20.0000 0.0175 0.0000 20.0000 0.0400 0.0000 0.0000 0.0000 0.0000
