"Partial Amount (n of 57)" "Learning Rate" "Mean Top-5" "Mean Top-5 (%)" "Std Top-5" "Mean Trained Top-5" "Mean Trained Top-5 (%)" "Std Trained Top-5" "Mean Not-Trained Top-5" "Mean Not-Trained Top-5 (%)" "Std Not-Trained Top-5" "Mean Top-1" "Mean Top-1 (%)" "Std Top-1" "Mean Trained Top-1" "Mean Trained Top-1 (%)" "Std Trained Top-1" "Mean Not-Trained Top-1" "Mean Not-Trained Top-1 (%)" "Std Not-Trained Top-1"
30.0 1e-05 635.5000 0.5575 1.8028 446.0000 0.7433 1.2247 189.5000 0.3509 1.5000 408.7500 0.3586 1.0897 307.5000 0.5125 1.1180 101.2500 0.1875 1.0897
10.0 1e-05 466.0000 0.4088 0.7071 154.0000 0.7700 0.0000 312.0000 0.3319 0.7071 253.7500 0.2226 1.0897 126.7500 0.6338 0.4330 127.0000 0.1351 0.7071
20.0 1e-05 541.5000 0.4750 1.1180 308.2500 0.7706 0.8292 233.2500 0.3152 0.8292 329.5000 0.2890 2.5000 226.7500 0.5669 0.8292 102.7500 0.1389 1.9203
40.0 1e-05 734.7500 0.6445 1.2990 632.7500 0.7909 0.4330 102.0000 0.3000 1.2247 498.5000 0.4373 2.0616 449.7500 0.5622 1.9203 48.7500 0.1434 0.4330
15.0 1e-05 498.2500 0.4371 2.0463 244.0000 0.8133 0.7071 254.2500 0.3027 1.9203 291.7500 0.2559 1.4790 198.5000 0.6617 0.8660 93.2500 0.1110 1.7854
45.0 1e-05 773.5000 0.6785 2.0616 701.2500 0.7792 2.0463 72.2500 0.3010 0.4330 534.2500 0.4686 3.4911 499.7500 0.5553 3.3448 34.5000 0.1437 0.5000
5.0 1e-05 400.2500 0.3511 0.8292 73.0000 0.7300 0.7071 327.2500 0.3147 1.2990 203.2500 0.1783 1.2990 64.0000 0.6400 0.0000 139.2500 0.1339 1.2990
55.0 1e-05 845.0000 0.7412 1.8708 831.5000 0.7559 1.5000 13.5000 0.3375 0.5000 592.7500 0.5200 1.9203 590.0000 0.5364 1.5811 2.7500 0.0688 0.4330
25.0 1e-05 602.0000 0.5281 2.9155 380.5000 0.7610 2.2913 221.5000 0.3461 1.1180 391.0000 0.3430 1.2247 271.2500 0.5425 0.8292 119.7500 0.1871 1.4790
35.0 1e-05 687.2500 0.6029 3.0311 543.2500 0.7761 1.9203 144.0000 0.3273 1.2247 465.0000 0.4079 2.4495 384.5000 0.5493 1.5000 80.5000 0.1830 1.1180
50.0 1e-05 810.7500 0.7112 2.1651 766.7500 0.7668 2.0463 44.0000 0.3143 0.7071 570.5000 0.5004 2.5981 546.0000 0.5460 2.7386 24.5000 0.1750 0.5000
